2021-11-26T21:15:28.760Z [AUDIT] Token created by 'anonymous': tokenId='5bf44071-9b87-43bc-826c-637fda302932', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-26T23:37:58.941Z [AUDIT] Token created by 'jffe@000': tokenId='905b1f9f-0174-4b9a-96a7-77b3a08d626b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637970478941, refreshable=false
2021-11-26T23:37:58.941Z [AUDIT] Token created by 'jffe@000': tokenId='99263be9-7445-4a04-9b57-2aa5fa21c011', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637970478941, refreshable=false
2021-11-26T23:37:58.941Z [AUDIT] Token created by 'jffe@000': tokenId='427145b8-3178-438c-a5c8-916588852253', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637970478941, refreshable=false
2021-11-26T23:37:58.942Z [AUDIT] Token created by 'jffe@000': tokenId='686f4cae-20ca-4345-a41c-fcc56d504cdb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637970478941, refreshable=false
2021-11-26T23:37:58.944Z [AUDIT] Token created by 'jffe@000': tokenId='4b010a4e-1253-469a-a6e5-e6d2d9f2bd21', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637970478944, refreshable=false
2021-11-26T23:47:59.015Z [AUDIT] Token created by 'jffe@000': tokenId='6a6c70d2-7429-4dde-b322-099628427b80', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971079015, refreshable=false
2021-11-26T23:47:59.015Z [AUDIT] Token created by 'jffe@000': tokenId='4c0e229d-3562-4366-8745-aaf28e752d8d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971079015, refreshable=false
2021-11-26T23:47:59.015Z [AUDIT] Token created by 'jffe@000': tokenId='c6e0e0a2-b49f-4159-a748-7d513370cad7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971079015, refreshable=false
2021-11-26T23:47:59.016Z [AUDIT] Token created by 'jffe@000': tokenId='8576f92d-a56b-4620-aab0-7d27a7fa3994', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971079016, refreshable=false
2021-11-26T23:47:59.023Z [AUDIT] Token created by 'jffe@000': tokenId='ebbcb77e-12ed-4a74-bfc1-e4b287d87562', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971079023, refreshable=false
2021-11-26T23:57:40.892Z [AUDIT] Token created by 'jffe@000': tokenId='5701daa0-bc8f-4015-a4c4-7bdb89dc8a4e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637972860890, refreshable=true
2021-11-26T23:57:41.010Z [AUDIT] Token created by 'jffe@000': tokenId='785bd096-3e78-459f-b3e6-a5068ccad468', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637971661010, refreshable=false
2021-11-26T23:57:41.013Z [AUDIT] Token created by 'jffe@000': tokenId='53a8b817-f474-47fe-97c4-b0a52841f48d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637971661013, refreshable=false
2021-11-26T23:57:41.215Z [AUDIT] Token created by 'jffe@000': tokenId='3b04c4d8-94c2-4ab5-8250-8e3e7d89a058', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1637971661215, refreshable=false
2021-11-26T23:57:41.450Z [AUDIT] Token created by 'jffe@000': tokenId='526499f7-c946-462e-a30b-65c4d7b6d0b2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637971661450, refreshable=false
2021-11-26T23:57:59.084Z [AUDIT] Token created by 'jffe@000': tokenId='d78f03e2-f39e-430e-923b-35beadeebbe7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971679084, refreshable=false
2021-11-26T23:57:59.085Z [AUDIT] Token created by 'jffe@000': tokenId='a281c47f-1c8f-4557-b160-8889f3b6c9e6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971679085, refreshable=false
2021-11-26T23:57:59.087Z [AUDIT] Token created by 'jffe@000': tokenId='96c8c848-2c1c-4a4f-8f83-728548fd8e87', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971679087, refreshable=false
2021-11-26T23:57:59.088Z [AUDIT] Token created by 'jffe@000': tokenId='e6e3e786-5570-4923-a1b5-e23b856b01b3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971679088, refreshable=false
2021-11-26T23:57:59.096Z [AUDIT] Token created by 'jffe@000': tokenId='3bd8fd92-7f14-41cd-a8da-d112bfe6009f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637971679096, refreshable=false
2021-11-27T00:07:52.551Z [AUDIT] Token created by 'jffe@000': tokenId='9a9ece99-6f2f-475e-aaea-c4647d2e6daa', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1637972272551, refreshable=false
2021-11-27T00:07:59.121Z [AUDIT] Token created by 'jffe@000': tokenId='f90f3cd5-a2c9-4a9e-8a73-baee776be3c3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637972279121, refreshable=false
2021-11-27T00:07:59.122Z [AUDIT] Token created by 'jffe@000': tokenId='cbf7264e-1670-46ff-9762-4a6d9c7ca8b3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637972279122, refreshable=false
2021-11-27T00:07:59.123Z [AUDIT] Token created by 'jffe@000': tokenId='61136360-aa08-4c1d-9f7b-f929cdab6ac1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637972279123, refreshable=false
2021-11-27T00:07:59.131Z [AUDIT] Token created by 'jffe@000': tokenId='83c6974e-387e-45bc-b4cb-92b10887a472', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637972279131, refreshable=false
2021-11-27T00:07:59.135Z [AUDIT] Token created by 'jffe@000': tokenId='0ec87e5e-35d2-44c1-adef-0d86ca05fddd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637972279135, refreshable=false
2021-11-27T00:17:51.974Z [AUDIT] Token created by 'anonymous': tokenId='1dcab2ca-8c1a-4c51-ab80-591729be1d46', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-27T00:17:52.022Z [AUDIT] Token revoked by 'anonymous': tokenId='4ddb5ab2-c447-4098-bc30-a01f552534e6', issuer='jfrou@01fnf1mq411yc9j17848m67sgg', subject='jfrou@01fnf1mq411yc9j17848m67sgg', expiry=none, refreshable=false
2021-11-27T00:17:54.726Z [AUDIT] Token created by 'anonymous': tokenId='aced2486-a13a-4fe6-8b75-4ecdfb958ed5', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637972394723, refreshable=false
2021-11-27T00:17:54.849Z [AUDIT] Token created by 'anonymous': tokenId='d153bcb9-06a6-4c0c-acf8-b837af2ae94d', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637972394847, refreshable=false
2021-11-27T00:17:55.075Z [AUDIT] Token created by 'anonymous': tokenId='d730ff57-edb3-44e2-bd55-7dde422b6219', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637972395059, refreshable=false
2021-11-27T00:17:55.485Z [AUDIT] Token created by 'anonymous': tokenId='5eeacb3a-3a86-4923-93a1-ad55331cc6ad', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637972395483, refreshable=false
2021-11-27T00:17:56.292Z [AUDIT] Token created by 'anonymous': tokenId='25829f80-fda1-496e-bf73-608a82be9ac8', issuer='jfac@01fnf1mjebk08f123fqpr71am0', subject='jfac@01fnf1mjebk08f123fqpr71am0', expiry=1637972396290, refreshable=false
2021-11-27T00:17:56.584Z [AUDIT] Token created by 'anonymous': tokenId='ef139d15-4432-47aa-8838-1606cb67fdc4', issuer='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', subject='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', expiry=none, refreshable=false
2021-11-27T00:17:56.590Z [AUDIT] Token revoked by 'anonymous': tokenId='a3a2e270-eaa1-4d9f-8831-64edce22d8a1', issuer='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', subject='jfmd@01fnf1mr0k2p6w6cz6e6fy2qpt', expiry=none, refreshable=false
2021-11-27T00:17:57.184Z [AUDIT] Token created by 'anonymous': tokenId='241e0942-d8b1-4581-975f-b4bf8d9846ea', issuer='jfob@01fnf1mjebk08f123fqpr71am0', subject='jfob@01fnf1mjebk08f123fqpr71am0', expiry=none, refreshable=false
2021-11-27T00:17:57.216Z [AUDIT] Token revoked by 'anonymous': tokenId='22ee0191-c15a-45ee-9d18-1c1ef3f953a2', issuer='jfob@01fnf1mjebk08f123fqpr71am0', subject='jfob@01fnf1mjebk08f123fqpr71am0', expiry=none, refreshable=false
2021-11-27T00:17:57.340Z [AUDIT] Token created by 'anonymous': tokenId='5d68c01c-aefe-45b7-98dc-8dc93766a8f0', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=none, refreshable=false
2021-11-27T00:17:57.353Z [AUDIT] Token revoked by 'anonymous': tokenId='2fbf8ae3-f023-4efb-aa99-977cbdb650ad', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=none, refreshable=false
2021-11-27T00:17:58.454Z [AUDIT] Token created by 'jfrt@01fnf1mwvggrgx1ytp54rh032v': tokenId='b7a35cb2-3a28-4f8e-b22d-e5a33bcb2c1f', issuer='jfrt@01fnf1mwvggrgx1ytp54rh032v', subject='jfrt@01fnf1mwvggrgx1ytp54rh032v', expiry=2584052278453, refreshable=false
2021-11-27T00:18:02.220Z [AUDIT] Token created by 'anonymous': tokenId='2d64c69b-6720-467c-810c-c137a0766d1b', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-11-27T00:18:02.225Z [AUDIT] Token revoked by 'anonymous': tokenId='694dda3a-ee57-4118-abb7-a319d5b411cb', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-11-27T00:18:02.267Z [AUDIT] Token created by 'jffe@000': tokenId='3d96c67e-271a-40ed-89b2-57ad2eca53cb', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637972882267, refreshable=false
2021-11-27T00:28:04.534Z [AUDIT] Token created by 'jffe@000': tokenId='0e29f4c1-4ebf-4d2f-be3a-0aef57d45101', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637973484534, refreshable=false
2021-11-27T00:28:04.537Z [AUDIT] Token created by 'jffe@000': tokenId='18b5fb97-3c26-4976-beae-f1680392d2ac', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637973484537, refreshable=false
2021-11-27T00:28:04.538Z [AUDIT] Token created by 'jffe@000': tokenId='d6137dd6-e605-462f-87dd-d440eb7480ac', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637973484537, refreshable=false
2021-11-27T00:28:04.546Z [AUDIT] Token created by 'jffe@000': tokenId='c959c492-6b0b-4261-9149-27fe5d75d843', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637973484538, refreshable=false
2021-11-27T00:28:04.575Z [AUDIT] Token created by 'jffe@000': tokenId='dcc9bc46-47b9-4601-88b1-0edb3e581847', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1637973484560, refreshable=false
